NCBI_ID	Parent_NCBI_ID	Organism_Name	Level	Lineage
1505663	128827	Erysipelatoclostridium	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Erysipelotrichia: 526524;Erysipelotrichales: 526525;Erysipelotrichaceae: 128827;
1506553	186803	Lachnoclostridium	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Lachnospiraceae: 186803;
1506577	186803	Tyzzerella	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Lachnospiraceae: 186803;
1512	1506553	[Clostridium] symbiosum	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Lachnospiraceae: 186803;Lachnoclostridium: 1506553;
1522	1505663	[Clostridium] innocuum	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Erysipelotrichia: 526524;Erysipelotrichales: 526525;Erysipelotrichaceae: 128827;Erysipelatoclostridium: 1505663;
1531	1506553	[Clostridium] clostridioforme	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Lachnospiraceae: 186803;Lachnoclostridium: 1506553;
1535	552397	[Clostridium] leptum	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Ruminococcaceae: 541000;unclassified Ruminococcaceae: 552397;
154046	1649459	Hungatella hathewayi	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Clostridiaceae: 31979;Hungatella: 1649459;
1547	1505663	Erysipelatoclostridium ramosum	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Erysipelotrichia: 526524;Erysipelotrichales: 526525;Erysipelotrichaceae: 128827;Erysipelatoclostridium: 1505663;
1562	186807	Desulfotomaculum	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Peptococcaceae: 186807;
1570339	1737405	Peptoniphilaceae	family	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Tissierellia: 1737404;Tissierellales: 1737405;
1573535	128827	Holdemanella	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Erysipelotrichia: 526524;Erysipelotrichales: 526525;Erysipelotrichaceae: 128827;
1573536	128827	Faecalicoccus	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Erysipelotrichia: 526524;Erysipelotrichales: 526525;Erysipelotrichaceae: 128827;
1578	33958	Lactobacillus	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;Lactobacillaceae: 33958;
1583	46255	Weissella confusa	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;Leuconostocaceae: 81850;Weissella: 46255;
158836	354276	Enterobacter hormaechei	species	cellular organisms: 131567;Bacteria: 2;Proteobacteria: 1224;Gammaproteobacteria: 1236;Enterobacterales: 91347;Enterobacteriaceae: 543;Enterobacter: 547;Enterobacter cloacae complex: 354276;
158846	1843491	Megamonas	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Negativicutes: 909932;Selenomonadales: 909929;Selenomonadaceae: 1843491;
