NCBI_ID	Parent_NCBI_ID	Organism_Name	Level	Lineage
2292024	102106	Collinsella sp. AM13-34	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Actinobacteria: 201174;Coriobacteriia: 84998;Coriobacteriales: 84999;Coriobacteriaceae: 84107;Collinsella: 102106;
2292025	102106	Collinsella sp. AM15-2	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Actinobacteria: 201174;Coriobacteriia: 84998;Coriobacteriales: 84999;Coriobacteriaceae: 84107;Collinsella: 102106;
2292026	102106	Collinsella sp. AM16-21	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Actinobacteria: 201174;Coriobacteriia: 84998;Coriobacteriales: 84999;Coriobacteriaceae: 84107;Collinsella: 102106;
2292027	102106	Collinsella sp. AM17-1	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Actinobacteria: 201174;Coriobacteriia: 84998;Coriobacteriales: 84999;Coriobacteriaceae: 84107;Collinsella: 102106;
2292028	102106	Collinsella sp. AM18-10	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Actinobacteria: 201174;Coriobacteriia: 84998;Coriobacteriales: 84999;Coriobacteriaceae: 84107;Collinsella: 102106;
2292029	102106	Collinsella sp. AM20-15AC	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Actinobacteria: 201174;Coriobacteriia: 84998;Coriobacteriales: 84999;Coriobacteriaceae: 84107;Collinsella: 102106;
2292030	102106	Collinsella sp. AM23-17	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Actinobacteria: 201174;Coriobacteriia: 84998;Coriobacteriales: 84999;Coriobacteriaceae: 84107;Collinsella: 102106;
2292031	102106	Collinsella sp. AM24-1	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Actinobacteria: 201174;Coriobacteriia: 84998;Coriobacteriales: 84999;Coriobacteriaceae: 84107;Collinsella: 102106;
2292032	100883	Coprobacillus sp. AF33-1AC	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Erysipelotrichia: 526524;Erysipelotrichales: 526525;Erysipelotrichaceae: 128827;Coprobacillus: 100883;
2292033	100883	Coprobacillus sp. AF34-1BH	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Erysipelotrichia: 526524;Erysipelotrichales: 526525;Erysipelotrichaceae: 128827;Coprobacillus: 100883;
